duration;positions;profit;best_deal;best_deal, %;worst_deal;worst_deal, %;win_rate;average_profit, %;average_loss, %;profitable_positions;total_trades
654 days, 16:00:00;193;6014.15;4592.45;42.99;-999.55;-7.29;41.45;3.32;-1.74;80;386

;time_1;time_2;type;side;notional;price;quantity;profit;fee
0;2020-01-16 04:00:00;2020-01-16 04:00:00;Market;BUY;9990.0;8640.01;1.16;-10000;10.0
1;2020-01-16 08:00:00;2020-01-16 08:00:00;Market;SELL;10036.23;8679.99;1.16;10026.19;10.04
2;2020-01-19 12:00:00;2020-01-19 12:00:00;Market;BUY;10016.16;8681.16;1.15;-10026.19;10.03
3;2020-01-19 16:00:00;2020-01-19 16:00:00;Market;SELL;9958.27;8630.98;1.15;9948.31;9.96
4;2020-01-20 00:00:00;2020-01-20 00:00:00;Market;BUY;9938.36;8701.72;1.14;-9948.31;9.95
5;2020-01-20 04:00:00;2020-01-20 04:00:00;Market;SELL;9899.44;8667.64;1.14;9889.54;9.9
6;2020-02-20 00:00:00;2020-02-20 00:00:00;Market;BUY;9879.65;9594.65;1.03;-9889.54;9.89
7;2020-02-20 04:00:00;2020-02-20 04:00:00;Market;SELL;9855.81;9571.5;1.03;9845.96;9.86
8;2020-02-20 08:00:00;2020-02-20 08:00:00;Market;BUY;9836.11;9606.78;1.02;-9845.96;9.85
9;2020-02-20 12:00:00;2020-02-20 12:00:00;Market;SELL;9793.83;9565.49;1.02;9784.04;9.79
10;2020-02-20 20:00:00;2020-02-20 20:00:00;Market;BUY;9774.26;9553.69;1.02;-9784.04;9.78
11;2020-02-21 00:00:00;2020-02-21 00:00:00;Market;SELL;9818.78;9597.21;1.02;9808.96;9.82
12;2020-04-02 16:00:00;2020-04-02 16:00:00;Market;BUY;9799.15;6805.0;1.44;-9808.96;9.81
13;2020-04-10 04:00:00;2020-04-10 04:00:00;Market;SELL;10333.06;7175.77;1.44;10322.73;10.33
14;2020-04-10 08:00:00;2020-04-10 08:00:00;Market;BUY;10312.4;6922.89;1.49;-10322.73;10.32
15;2020-04-10 12:00:00;2020-04-10 12:00:00;Market;SELL;10275.68;6898.24;1.49;10265.41;10.28
16;2020-04-10 20:00:00;2020-04-10 20:00:00;Market;BUY;10255.14;6900.13;1.49;-10265.41;10.27
17;2020-04-11 00:00:00;2020-04-11 00:00:00;Market;SELL;10193.9;6858.92;1.49;10183.7;10.19
18;2020-04-11 04:00:00;2020-04-11 04:00:00;Market;BUY;10173.52;6907.08;1.47;-10183.7;10.18
19;2020-04-11 08:00:00;2020-04-11 08:00:00;Market;SELL;10128.37;6876.43;1.47;10118.25;10.13
20;2020-04-13 00:00:00;2020-04-13 00:00:00;Market;BUY;10108.13;6903.79;1.46;-10118.25;10.12
21;2020-04-13 04:00:00;2020-04-13 04:00:00;Market;SELL;9773.92;6675.53;1.46;9764.15;9.77
22;2020-04-14 04:00:00;2020-04-14 04:00:00;Market;BUY;9754.38;6885.29;1.42;-9764.15;9.76
23;2020-04-14 08:00:00;2020-04-14 08:00:00;Market;SELL;9658.73;6817.77;1.42;9649.07;9.66
24;2020-04-14 16:00:00;2020-04-14 16:00:00;Market;BUY;9639.42;6906.4;1.4;-9649.07;9.65
25;2020-04-15 00:00:00;2020-04-15 00:00:00;Market;SELL;9586.62;6868.57;1.4;9577.03;9.59
26;2020-04-16 08:00:00;2020-04-16 08:00:00;Market;BUY;9567.46;6893.24;1.39;-9577.03;9.58
27;2020-04-18 08:00:00;2020-04-18 08:00:00;Market;SELL;9840.24;7089.78;1.39;9830.4;9.84
28;2020-04-24 00:00:00;2020-04-24 00:00:00;Market;BUY;9820.57;7483.96;1.31;-9830.4;9.83
29;2020-04-24 04:00:00;2020-04-24 04:00:00;Market;SELL;9871.74;7522.95;1.31;9861.87;9.87
30;2020-04-30 04:00:00;2020-04-30 04:00:00;Market;BUY;9852.0;9289.97;1.06;-9861.87;9.86
31;2020-05-04 08:00:00;2020-05-04 08:00:00;Market;SELL;9171.64;8648.42;1.06;9162.47;9.17
32;2020-05-04 12:00:00;2020-05-04 12:00:00;Market;BUY;9153.31;8672.57;1.06;-9162.47;9.16
33;2020-05-10 04:00:00;2020-05-10 04:00:00;Market;SELL;9100.7;8622.73;1.06;9091.6;9.1
34;2020-05-10 08:00:00;2020-05-10 08:00:00;Market;BUY;9082.51;8812.27;1.03;-9091.6;9.09
35;2020-05-10 12:00:00;2020-05-10 12:00:00;Market;SELL;9004.49;8736.57;1.03;8995.48;9.0
36;2020-05-10 16:00:00;2020-05-10 16:00:00;Market;BUY;8986.49;8652.27;1.04;-8995.48;9.0
37;2020-05-10 20:00:00;2020-05-10 20:00:00;Market;SELL;8829.02;8500.66;1.04;8820.19;8.83
38;2020-05-11 00:00:00;2020-05-11 00:00:00;Market;BUY;8811.37;8722.77;1.01;-8820.19;8.82
39;2020-05-11 04:00:00;2020-05-11 04:00:00;Market;SELL;8784.57;8696.24;1.01;8775.79;8.78
40;2020-05-11 08:00:00;2020-05-11 08:00:00;Market;BUY;8767.01;8664.32;1.01;-8775.79;8.78
41;2020-05-11 12:00:00;2020-05-11 12:00:00;Market;SELL;9031.97;8926.17;1.01;9022.94;9.03
42;2020-05-11 16:00:00;2020-05-11 16:00:00;Market;BUY;9013.91;8882.97;1.01;-9022.94;9.02
43;2020-05-11 20:00:00;2020-05-11 20:00:00;Market;SELL;8874.16;8745.25;1.01;8865.29;8.87
44;2020-05-12 00:00:00;2020-05-12 00:00:00;Market;BUY;8856.42;8562.04;1.03;-8865.29;8.87
45;2020-05-12 04:00:00;2020-05-12 04:00:00;Market;SELL;9016.45;8716.75;1.03;9007.44;9.02
46;2020-05-12 08:00:00;2020-05-12 08:00:00;Market;BUY;8998.43;8655.76;1.04;-9007.44;9.01
47;2020-05-12 12:00:00;2020-05-12 12:00:00;Market;SELL;9149.32;8800.91;1.04;9140.18;9.15
48;2020-05-12 16:00:00;2020-05-12 16:00:00;Market;BUY;9131.04;8867.72;1.03;-9140.18;9.14
49;2020-05-12 20:00:00;2020-05-12 20:00:00;Market;SELL;9053.26;8792.19;1.03;9044.21;9.05
50;2020-05-13 00:00:00;2020-05-13 00:00:00;Market;BUY;9035.17;8810.99;1.03;-9044.21;9.04
51;2020-05-13 04:00:00;2020-05-13 04:00:00;Market;SELL;9138.73;8911.99;1.03;9129.6;9.14
52;2020-05-13 08:00:00;2020-05-13 08:00:00;Market;BUY;9120.47;8867.2;1.03;-9129.6;9.13
53;2020-05-16 20:00:00;2020-05-16 20:00:00;Market;SELL;9596.26;9329.78;1.03;9586.66;9.6
54;2020-05-17 00:00:00;2020-05-17 00:00:00;Market;BUY;9577.08;9380.81;1.02;-9586.66;9.59
55;2020-05-19 04:00:00;2020-05-19 04:00:00;Market;SELL;9729.91;9530.51;1.02;9720.18;9.73
56;2020-05-19 08:00:00;2020-05-19 08:00:00;Market;BUY;9710.46;9573.99;1.01;-9720.18;9.72
57;2020-05-20 16:00:00;2020-05-20 16:00:00;Market;SELL;9548.7;9414.51;1.01;9539.16;9.55
58;2020-05-20 20:00:00;2020-05-20 20:00:00;Market;BUY;9529.62;9531.99;1.0;-9539.16;9.54
59;2020-05-21 00:00:00;2020-05-21 00:00:00;Market;SELL;9509.06;9511.43;1.0;9499.55;9.51
60;2020-05-21 04:00:00;2020-05-21 04:00:00;Market;BUY;9490.05;9483.37;1.0;-9499.55;9.5
61;2020-05-21 08:00:00;2020-05-21 08:00:00;Market;SELL;9464.55;9457.88;1.0;9455.08;9.46
62;2020-05-21 12:00:00;2020-05-21 12:00:00;Market;BUY;9445.63;9389.97;1.01;-9455.08;9.46
63;2020-05-21 16:00:00;2020-05-21 16:00:00;Market;SELL;9136.33;9082.5;1.01;9127.2;9.14
